Company,Title,Category,Location,Responsibilities,Minimum Qualifications,Preferred Qualifications
Google,TitleA,CategoryX,Tel Aviv,Everything and the rest, BS, MS
Google,TitleB,CategoryX,Tel Aviv,Everything and the rest, BS, MS
Google,TitleB,CategoryY,Houston,Everything and the rest, BS, MS

Google,TitleC,CategoryX,Jonesboro,Everything and the rest, BS, MS 
Google,TitleC,CategoryX,Jonesboro,Everything and the rest, MS 
Google,TitleC,CategoryX,Hinsdale,Everything and the rest, BS, MS 
Google
Google,TitleA,CategoryX,Hinsdale,Everything and the rest, BS, MS
6
